Year,Company_Name,Sector,Revenue_SAR,Net_Income_SAR,Operating_Income_SAR,Total_Assets_SAR,Total_Liabilities_SAR
2019,Dar Alarkan,Real Estate Development,3491856,304590,649653,28049229,9039741
2020,Dar Alarkan,Real Estate Development,1944854,18794,503318,30934616,11908436
2021,Dar Alarkan,Real Estate Development,2493078,132520,684783,31961680,12802050
2022,Dar Alarkan,Real Estate Development,3925499,441720,1099653,33512853,13908725
2023,Dar Alarkan,Real Estate Development,2707100,610758,865310,33655304,13363423
2024,Dar Alarkan,Real Estate Development,3759022,806840,1334107,36940222,15839508
