Year,Company_Name,Sector,Revenue_SAR,Net_Income_SAR,Operating_Income_SAR,Total_Assets_SAR,Total_Liabilities_SAR
2019,Petro Rabigh,Petrochemicals,34061975,544151,439329,74029648,63988241
2020,Petro Rabigh,Petrochemicals,21870198,3781128,2435658,70694009,64490526  
2021,Petro Rabigh,Petrochemicals,45638066,2036661,3192471,73362023,65056112
2022,Petro Rabigh,Petrochemicals,55952481,1114881,12228,65578732,50323871
2023,Petro Rabigh,Petrochemicals,44603993,4692733,2602953,63202879,52652198
2024,Petro Rabigh,Petrochemicals,39349068,4544527,2571190,60236567,50433267
