Year,Company_Name,Sector,Revenue_SAR,Net_Income_SAR,Operating_Income_SAR,Total_Assets_SAR,Total_Liabilities_SAR
2019,Aldrees Petroleum,Energy,5681129,291744,398815,3585220,2710453
2020,Aldrees Petroleum,Energy,4974081,121083,205926,4462753,3570271
2021,Aldrees Petroleum,Energy,9109615,176805,285131,5435393,4440243
2022,Aldrees Petroleum,Energy,12356079,241828,370682,6315582,5206238
2023,Aldrees Petroleum,Energy,14834059,280815,421156,7506130,6270210
2024,Aldrees Petroleum,Energy,19288553,338047,513334,8443323,6963836
