Year,Company_Name,Sector,Revenue_SAR,Net_Income_SAR,Operating_Income_SAR,Total_Assets_SAR,Total_Liabilities_SAR
2019,Aramco,Energy,1096444000,330693000,674871000,1494126000,447891000
2020,Aramco,Energy,771246000,183763000,383360000,1914261000,813167000
2021,Aramco,Energy,1346930000,412369000,771918000,2162690000,882022000
2022,Aramco,Energy,2006955000,60400500,1144077000,2492924000,826777000
2023,Aramco,Energy,1856373000,454764000,868287000,2477940000,740848000
2024,Aramco,Energy,1801674000,398422000,774625000,2423630000,772275000
