Year,Company_Name,Sector,Revenue_SAR,Net_Income_SAR,Operating_Income_SAR,Total_Assets_SAR,Total_Liabilities_SAR,Revenue_Growth_%,Operating_Margin_%,Net_Profit_Margin_%,Liabilities_to_Assets_Ratio,Asset_Turnover_Ratio
2019,STC,Telecommunications,54367531.0,10924831.0,12480393.0,44841492.0,55271210.0,,22.955600098889906,20.094403404120005,123.25907889059535,1.212438047333483
2020,STC,Telecommunications,58953318.0,11185197.0,12731125.0,121972100.0,56705085.0,8.43478987486115,21.59526457866205,18.972972818934466,46.49020964630436,0.4833344510752869
2021,STC,Telecommunications,63416977.0,11594697.0,13127755.0,127779417.0,56393438.0,7.571514465055218,20.700695020514775,18.283269793828236,44.13342878219581,0.49630040963483185
2022,STC,Telecommunications,67431546.0,12386922.0,15088441.0,137219986.0,61194394.0,6.330432622166771,22.375938110628518,18.369624804390515,44.595831688832845,0.4914119871721893
2023,STC,Telecommunications,71777161.0,13419479.0,13161291.0,159645869.0,78130703.0,6.444483713898541,18.336321493685155,18.69602922857314,48.94000921502078,0.44960236960469047
2024,STC,Telecommunications,75893413.0,24916243.0,14425638.0,160638143.0,68153096.0,5.734765686817855,19.007760265044347,32.83057384703466,42.426471526130626,0.4724495165509975
