Year,Company_Name,Sector,Revenue_SAR,Net_Income_SAR,Operating_Income_SAR,Total_Assets_SAR,Total_Liabilities_SAR
2019,STC,Telecommunications,54367531,10924831,12480393,44841492,55271210
2020,STC,Telecommunications,58953318,11185197,12731125,121972100,56705085
2021,STC,Telecommunications,63416977,11594697,13127755,127779417,56393438
2022,STC,Telecommunications,67431546,12386922,15088441,137219986,61194394
2023,STC,Telecommunications,71777161,13419479,13161291,159645869,78130703
2024,STC,Telecommunications,75893413,24916243,14425638,160638143,68153096
