Year,Company_Name,Sector,Revenue_SAR,Net_Income_SAR,Operating_Income_SAR,Total_Assets_SAR,Total_Liabilities_SAR
2019,Jabel Omar,Real Estate Development,885220,635104,6858,26287576,17972572
2020,Jabel Omar,Real Estate Development,176682,1339006,790781,25736881,18748140
2021,Jabel Omar,Real Estate Development,310360,946210,-432350,26822580,18194350
2022,Jabel Omar,Real Estate Development,849500,-176780,-352430,26512470,13825760
2023,Jabel Omar,Real Estate Development,1326720,226460,37480,27282700,14559880
2024,Jabel Omar,Real Estate Development,1901400,382840,200090,27554490,14083150
