Year,Company_Name,Sector,Revenue_SAR,Net_Income_SAR,Operating_Income_SAR,Total_Assets_SAR,Total_Liabilities_SAR,Revenue_Growth_%,Operating_Margin_%,Net_Profit_Margin_%,Liabilities_to_Assets_Ratio,Asset_Turnover_Ratio
2019,STC,Telecommunications,54367531.0,10924831.0,12480393.0,44841492.0,55271210.0,,22.955600098889903,20.094403404120005,123.25907889059536,1.212438047333483
2020,STC,Telecommunications,58953318.0,11185197.0,12731125.0,121972100.0,56705085.0,8.43478987486115,21.59526457866205,18.972972818934466,46.49020964630436,0.4833344510752869
2021,STC,Telecommunications,63416977.0,11594697.0,13127755.0,127779417.0,56393438.0,7.571514465055218,20.70069502051477,18.28326979382824,44.13342878219581,0.4963004096348318
2022,STC,Telecommunications,67431546.0,12386922.0,15088441.0,137219986.0,61194394.0,6.330432622166771,22.37593811062852,18.369624804390515,44.595831688832845,0.4914119871721893
2023,STC,Telecommunications,71777161.0,13419479.0,13161291.0,159645869.0,78130703.0,6.444483713898541,18.336321493685155,18.69602922857314,48.94000921502078,0.4496023696046904
2024,STC,Telecommunications,75893413.0,24916243.0,14425638.0,160638143.0,68153096.0,5.734765686817855,19.007760265044347,32.83057384703466,42.42647152613063,0.4724495165509975
2019,Mobily,Telecommunications,13449974.0,31183.0,967013.0,39262461.0,25511111.0,,7.189701630649992,0.2318443143458864,64.97583276809877,0.3425657398297065
2020,Mobily,Telecommunications,14046168.0,783254.0,1366517.0,38415896.0,23970669.0,4.432677713726441,9.728753066316736,5.576282442300277,62.39778710354693,0.3656342676479549
2021,Mobily,Telecommunications,14834056.0,1071541.0,1667784.0,39363908.0,24167662.0,5.609273646734114,11.24293989452379,7.223519986711659,61.395484411761146,0.3768440877364107
2022,Mobily,Telecommunications,15717415.0,1656940.0,2328016.0,38178280.0,21819745.0,5.954939094203238,14.811697725103016,10.542064328008136,57.15224729872588,0.4116847327852381
2023,Mobily,Telecommunications,16762681.0,2231977.0,2977256.0,38817134.0,21194527.0,6.650368397093298,17.761216120500055,13.315155254699413,54.60095791719193,0.4318371624242016
2024,Mobily,Telecommunications,18206447.0,3106848.0,3530417.0,38515028.0,19639536.0,8.612977840477898,19.39102670608933,17.06454861840973,50.99187776781572,0.4727102106741296
2019,Zain KSA,Telecommunications,8386000.0,485000.0,1511000.0,27738000.0,23635000.0,,18.018125447173865,5.783448604817553,85.20801788160645,0.3023289350349701
2020,Zain KSA,Telecommunications,7917000.0,260000.0,1002000.0,28158000.0,19429000.0,-5.592654424040067,12.656309208033344,3.284072249589491,68.99992897222815,0.281163434903047
2021,Zain KSA,Telecommunications,7901000.0,214000.0,699000.0,27877000.0,18837000.0,-0.2020967538208906,8.846981394760158,2.7085179091254274,67.5718334110557,0.2834236108620009
2022,Zain KSA,Telecommunications,9075000.0,550000.0,1066000.0,28461000.0,18659000.0,14.858878622959114,11.7465564738292,6.0606060606060606,65.55988897087242,0.3188573837883419
2023,Zain KSA,Telecommunications,9883000.0,1267000.0,871000.0,27378000.0,16787000.0,8.903581267217643,8.813113427097036,12.819993928968938,61.315654905398496,0.3609832712396815
2024,Zain KSA,Telecommunications,10365000.0,696000.0,1199000.0,28135000.0,17429000.0,4.877061620965284,11.56777616980222,6.714905933429812,61.94775191043185,0.3684023458325928
