Year,Company_Name,Sector,Revenue_SAR,Net_Income_SAR,Operating_Income_SAR,Total_Assets_SAR,Total_Liabilities_SAR
2019,Mobily,Telecommunications,13449974,31183,967013,39262461,25511111
2020,Mobily,Telecommunications,14046168,783254,1366517,38415896,23970669
2021,Mobily,Telecommunications,14834056,1071541,1667784,39363908,24167662 
2022,Mobily,Telecommunications,15717415,1656940,2328016,38178280,21819745
2023,Mobily,Telecommunications,16762681,2231977,2977256,38817134,21194527
2024,Mobily,Telecommunications,18206447,3106848,3530417,38515028,19639536
