Year,Company_Name,Sector,Revenue_SAR,Net_Income_SAR,Operating_Income_SAR,Total_Assets_SAR,Total_Liabilities_SAR
2019,ACWA Power,Energy,4114999,880083,918471,37747537,27142160
2020,ACWA Power,Energy,4829111,902387,1767939,36260987,28860832
2021,ACWA Power,Energy,5360940,743908,1836995,45708698,31388553
2022,ACWA Power,Energy,5275930,1476410,2363251,48845920,28817526
2023,ACWA Power,Energy,6095010,1771329,2983572,55018314,34309423
2024,ACWA Power,Energy,6297298,1987836,3011901,56882706,32576949
