Year,Company_Name,Sector,Revenue_SAR,Net_Income_SAR,Operating_Income_SAR,Total_Assets_SAR,Total_Liabilities_SAR
2019,SABIC,Petrochemicals,139737384,8462836,14833007,310365751,99114429 
2020,SABIC,Petrochemicals,116949287,1256229,4573937,295468550,101231425
2021,SABIC,Petrochemicals,174883126,30501771,33242175,319355328,1075222030
2022,SABIC,Petrochemicals,183080000,16530000,22910000,313105817,95488558
2023,SABIC,Petrochemicals,141540000,-2770000,3720000,294380000,99100000
2024,SABIC,Petrochemicals,139980000,1540000,5740000,278020000,94100000
