Company_Name,Revenue_Growth_%,Operating_Margin_%,Net_Profit_Margin_%,Liabilities_to_Assets_Ratio,Asset_Turnover_Ratio,Revenue_Growth_Volatility,Revenue_CAGR
ACWA Power,9.124977575221383,39.12816485222888,23.760395308225768,66.46574340104833,0.11482916317411619,8.072597922118604,8.882203745188066
Aldrees Petroleum,31.283492161722837,3.7984048419073275,2.518872689590757,80.9567239812442,1.7653886043044935,34.45329751983102,27.69473747152478
Aramco,16.707329802858478,52.556759476145025,22.37062320938743,34.69447551432423,0.6761888511133249,43.3642274286723,10.442937994231393
